Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772942401,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942402,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942403,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942404,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942405,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942406,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942407,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942408,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942409,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942410,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942411,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942412,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942413,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942414,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942415,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942416,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942417,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942418,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942419,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772942420,30,,Aggregated,0.000000,0.000000,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,10,0,2600.0,2538.447289999931,2272.7583999999297,2605.421899999783,1059554.8
1772942421,40,,Aggregated,0.000000,0.000000,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,15,0,2600.0,2469.4460666666605,2149.438900000405,2605.421899999783,1412721.0666666667
1772942423,50,,Aggregated,3.250000,0.000000,2500,2600,2600,2600,4600,4900,5200,5200,5200,5200,5200,27,0,2500.0,2750.773855555559,2149.438900000405,5200.27140000002,8295835.037037037
1772942425,50,,Aggregated,4.000000,0.000000,2600,2600,4300,4400,4900,5200,5600,5600,5600,5600,5600,34,0,2600.0,3107.1027147058885,2149.438900000405,5634.035500000209,9725984.323529411
1772942426,50,,Aggregated,4.000000,0.000000,3300,3700,4300,4400,4900,5600,5800,6100,6100,6100,6100,57,0,3300.0,3416.482564912249,2149.438900000405,6104.913899999701,7858189.403508772
1772942428,50,,Aggregated,3.750000,0.000000,3400,3800,4400,4600,5500,6100,6300,6500,6500,6500,6500,60,0,3400.0,3550.871048333313,2149.438900000405,6536.241300000256,9999868.133333333
1772942429,50,,Aggregated,5.700000,0.000000,3400,3800,4300,4400,5200,5800,6300,6500,6500,6500,6500,73,0,3400.0,3542.6489493150516,2149.438900000405,6536.241300000256,9130991.438356165
1772942431,50,,Aggregated,7.200000,0.000000,3400,4000,4600,4700,5600,6200,6500,6500,6500,6500,6500,80,0,3400.0,3698.713724999981,2149.438900000405,6536.241300000256,11500631.8125
1772942432,50,,Aggregated,7.300000,0.000000,3800,4300,4700,4900,5500,6100,6500,6500,6500,6500,6500,98,0,3700.0,3850.0714918367116,2149.438900000405,6536.241300000256,10014252.295918368
1772942435,50,,Aggregated,6.100000,0.000000,3900,4400,4700,5000,5700,6200,6500,7000,7200,7200,7200,107,0,3900.0,3959.1528009345575,2149.438900000405,7165.235499999653,11215071.775700934
1772942436,50,,Aggregated,7.600000,0.000000,4000,4600,4900,5200,6000,6500,7200,7600,7900,7900,7900,111,0,4000.0,4070.9452972972763,2149.438900000405,7891.430899999705,12180973.225225225
1772942438,50,,Aggregated,5.500000,0.000000,4200,4600,4900,5100,5800,6500,7200,7600,7900,7900,7900,128,0,4200.0,4144.528474218729,2149.438900000405,7891.430899999705,11833826.984375
1772942439,50,,Aggregated,6.800000,0.000000,4100,4600,4900,5100,6000,6600,7500,7600,7900,7900,7900,140,0,4100.0,4136.153847142842,2149.438900000405,7891.430899999705,11544088.614285715
1772942440,50,,Aggregated,6.800000,0.000000,4100,4600,4900,5000,6000,6500,7500,7600,7900,7900,7900,150,0,4100.0,4142.673188666654,2149.438900000405,7891.430899999705,10844924.773333333
1772942442,50,,Aggregated,7.600000,0.000000,4200,4600,4900,5200,6200,6700,7200,7600,7900,7900,7900,156,0,4200.0,4222.505982051266,2149.438900000405,7891.430899999705,12377495.512820512
1772942443,50,,Aggregated,7.300000,0.000000,4100,4600,4900,5200,6200,6600,7200,7600,7900,7900,7900,168,0,4100.0,4226.318200595219,2149.438900000405,7891.430899999705,11556632.095238095
1772942444,50,,Aggregated,7.300000,0.000000,4100,4700,4900,5200,6200,6600,7200,7600,7900,7900,7900,169,0,4100.0,4229.375056804715,2149.438900000405,7891.430899999705,11519509.603550296
1772942448,50,,Aggregated,6.000000,0.000000,4300,4800,5200,5500,6500,7200,8400,9100,10000,10000,10000,179,0,4300.0,4419.985054189927,2149.438900000405,10250.689099999818,13424873.145251397
1772942450,50,,Aggregated,4.900000,0.000000,4600,5200,5900,6200,7000,7600,8400,9100,10000,10000,10000,210,0,4600.0,4739.886052380939,2149.438900000405,10250.689099999818,12243029.780952381
1772942451,50,,Aggregated,5.000000,0.000000,4600,5200,5900,6200,7000,7600,8400,9100,10000,10000,10000,215,0,4600.0,4738.3470795348685,2149.438900000405,10250.689099999818,12194084.818604652
1772942452,50,,Aggregated,4.800000,0.000000,4600,5200,5900,6200,7000,7600,8400,9100,10000,10000,10000,222,0,4600.0,4714.952319369354,2149.438900000405,10250.689099999818,12337660.671171172
1772942453,50,,Aggregated,6.100000,0.000000,4500,5000,5800,6200,7000,7600,8400,9100,10000,10000,10000,234,0,4400.0,4607.7399431623735,2134.9120999998377,10250.689099999818,11921594.175213676
1772942455,50,,Aggregated,6.600000,0.000000,4400,5000,5800,6200,7000,7600,8400,9100,10000,10000,10000,240,0,4400.0,4578.6980341666485,2134.9120999998377,10250.689099999818,12134034.5375
1772942456,50,,Aggregated,6.800000,0.000000,4400,5000,5700,6100,7000,7600,8400,9100,10000,10000,10000,243,0,4400.0,4583.6227847736445,2134.9120999998377,10250.689099999818,12610055.888888888
1772942457,50,,Aggregated,7.000000,0.000000,4300,4900,5600,6000,6800,7500,8400,9100,10000,10000,10000,261,0,4300.0,4529.637722605349,2134.9120999998377,10250.689099999818,11841605.180076629
1772942459,50,,Aggregated,8.500000,0.000000,4400,4900,5600,6000,6800,7500,8400,9100,10000,10000,10000,264,0,4400.0,4545.583717803016,2134.9120999998377,10250.689099999818,12283084.257575758
1772942461,50,,Aggregated,8.400000,0.000000,4400,5000,5800,6100,7000,7600,8400,9100,10000,10000,10000,274,0,4400.0,4613.719164233561,2134.9120999998377,10250.689099999818,12760043.11678832
1772942462,50,,Aggregated,6.800000,0.000000,4500,5000,5700,6100,7000,7500,8400,9100,10000,10000,10000,292,0,4500.0,4636.072164041081,2134.9120999998377,10250.689099999818,12338864.19520548
1772942463,50,,Aggregated,6.800000,0.000000,4500,5000,5700,6100,7000,7500,8400,9100,10000,10000,10000,297,0,4500.0,4621.130494612778,2134.9120999998377,10250.689099999818,12131140.131313132
