Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/audio,84,0,2400.0,3216.7738726190414,2072.585499999832,6822.257000000036,5282931.0,1.4050057826431315,0.0,2400,2700,4500,4700,5400,6300,6800,6800,6800,6800,6800
POST,/audio,71,0,2200.0,2535.344621126753,2062.2717000001103,7168.688599999996,56.0,1.1875644115197896,0.0,2200,2300,2500,2600,3200,4300,6100,7200,7200,7200,7200
GET,/helloworld,69,0,2100.0,2201.9490260869375,2019.5479000001342,5740.23729999999,11.0,1.1541118928854295,0.0,2100,2200,2200,2300,2500,2600,2600,5700,5700,5700,5700
GET,/images,65,0,2100.0,2226.278106153845,2022.6404000000002,5204.0351999999075,29294.0,1.087206855616709,0.0,2100,2200,2200,2300,2600,2900,2900,5200,5200,5200,5200
POST,/images,68,0,2100.0,2340.420147058824,2024.1381000000729,6459.224000000177,50.0,1.1373856335682493,0.0,2100,2200,2300,2300,2600,3200,6000,6500,6500,6500,6500
GET,/serverstatus,135,0,2100.0,2157.4916799999955,2017.5040000001445,5950.491499999998,97.85185185185185,2.2580450078193186,0.0,2100,2100,2100,2200,2200,2300,2600,5100,6000,6000,6000
GET,/videos,75,0,2700.0,5355.509636000001,2256.3919000001533,19239.494700000025,50691764.0,1.2544694487885102,0.0,2700,3500,6900,9900,15000,17000,19000,19000,19000,19000,19000
POST,/videos,85,0,2200.0,2386.002543529404,2030.1823999998305,6591.560699999945,56.0,1.4217320419603117,0.0,2200,2300,2300,2400,3000,3200,5400,6600,6600,6600,6600
,Aggregated,652,0,2200.0,2763.411685276066,2017.5040000001445,19239.494700000025,6514691.286809816,10.905521074801449,0.0,2200,2300,2400,2600,3500,6000,11000,15000,19000,19000,19000
