Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/audio,61,0,4000.0,4305.993893442594,2378.1228000002557,8571.34270000006,5282931.0,0.9678244888527492,0.0,4000,4800,5200,5500,6400,7200,7800,8600,8600,8600,8600
POST,/audio,71,0,3500.0,3979.295432394355,2223.692000000028,9121.095200000127,56.0,1.1264842411236917,0.0,3500,3900,4700,4800,6700,9000,9100,9100,9100,9100,9100
GET,/helloworld,13,0,3400.0,3263.8316000000204,2093.2346999998117,4769.590500000049,11.0,0.20625767795222524,0.0,3400,3900,4000,4300,4700,4800,4800,4800,4800,4800,4800
GET,/images,38,0,3400.0,3564.367757894808,2033.5030000001098,7958.17739999984,29294.0,0.6029070586295815,0.0,3400,3900,4300,4400,4800,7500,8000,8000,8000,8000,8000
POST,/images,35,0,2900.0,3498.8282371428395,2072.4060000002282,7149.212299999817,50.0,0.5553091329482988,0.0,2900,4200,4600,4800,5300,5600,7100,7100,7100,7100,7100
GET,/serverstatus,26,0,2800.0,3211.6329307692604,2121.5282000002844,5601.263199999721,98.0,0.4125153559044505,0.0,3000,3400,4200,4200,4600,4700,5600,5600,5600,5600,5600
GET,/videos,88,0,5500.0,5865.825857954586,2851.4595000001464,11764.670900000056,50691764.0,1.396205819984294,0.0,5600,6200,6600,6800,8800,10000,11000,12000,12000,12000,12000
POST,/videos,104,0,3200.0,3625.689875961524,2079.885799999829,8459.02920000026,56.0,1.650061423617802,0.0,3300,3900,4400,4600,5500,6200,6900,7100,8500,8500,8500
,Aggregated,436,0,3800.0,4179.580862155969,2033.5030000001098,11764.670900000056,10973076.688073395,6.917565199013093,0.0,3800,4600,5100,5500,6700,8000,9100,10000,12000,12000,12000
